Factor containing 5 variables
-------------------------------------
| X_0 X_1 X_2 X_3 X_4 | Probability |
|  0   2   0   2   0  |           0 |
|  1   2   0   2   0  |           0 |
|  2   2   0   2   0  |           0 |
|  0   3   0   2   0  |           0 |
|  1   3   0   2   0  |           0 |
|  2   3   0   2   0  |           0 |
|  0   0   1   2   0  |           0 |
|  1   0   1   2   0  |           0 |
|  2   0   1   2   0  |           0 |
|  0   1   1   2   0  |           0 |
|  1   1   1   2   0  |           0 |
|  2   1   1   2   0  |           0 |
|  0   2   1   2   0  |           0 |
|  1   2   1   2   0  |           0 |
|  2   2   1   2   0  |           0 |
|  0   3   1   2   0  |           0 |
|  1   3   1   2   0  |           0 |
|  2   3   1   2   0  |           0 |
|  0   0   0   0   1  |           0 |
|  1   0   0   0   1  |           0 |
|  2   0   0   0   1  |           0 |
|  0   1   0   0   1  |           0 |
|  1   1   0   0   1  |           0 |
|  2   1   0   0   1  |           0 |
|  0   2   0   0   1  |           0 |
|  1   2   0   0   1  |           0 |
|  2   2   0   0   1  |           0 |
|  0   3   0   0   1  |           0 |
|  1   3   0   0   1  |           0 |
|  2   3   0   0   1  |           0 |
|  0   0   1   0   1  |           0 |
|  1   0   1   0   1  |           0 |
|  2   0   1   0   1  |           0 |
|  0   1   1   0   1  |           0 |
|  1   1   1   0   1  |           0 |
|  2   1   1   0   1  |           0 |
|  0   2   1   0   1  |           0 |
|  1   2   1   0   1  |           0 |
|  2   2   1   0   1  |           0 |
|  0   3   1   0   1  |           0 |
|  1   3   1   0   1  |           0 |
|  2   3   1   0   1  |           0 |
|  0   0   0   1   1  |     0.00216 |
|  1   0   0   1   1  |      0.0081 |
|  2   0   0   1   1  |     0.00216 |
|  0   1   0   1   1  |     0.00056 |
|  1   1   0   1   1  |      0.0084 |
|  2   1   0   1   1  |     0.00336 |
|  0   2   0   1   1  |      0.0004 |
|  1   2   0   1   1  |       0.006 |
|  2   2   0   1   1  |      0.0108 |
|  0   3   0   1   1  |       4e-05 |
|  1   3   0   1   1  |      0.0003 |
|  2   3   0   1   1  |      0.0006 |
|  0   0   1   1   1  |     0.00024 |
|  1   0   1   1   1  |      0.0009 |
|  2   0   1   1   1  |     0.00024 |
|  0   1   1   1   1  |     0.00024 |
|  1   1   1   1   1  |      0.0036 |
|  2   1   1   1   1  |     0.00144 |
|  0   2   1   1   1  |      0.0004 |
|  1   2   1   1   1  |       0.006 |
|  2   2   1   1   1  |      0.0108 |
|  0   3   1   1   1  |     0.00016 |
|  1   3   1   1   1  |      0.0012 |
|  2   3   1   1   1  |      0.0024 |
|  0   0   0   2   1  |           0 |
|  1   0   0   2   1  |           0 |
|  2   0   0   2   1  |           0 |
|  0   1   0   2   1  |           0 |
|  1   1   0   2   1  |           0 |
|  2   1   0   2   1  |           0 |
|  0   2   0   2   1  |           0 |
|  1   2   0   2   1  |           0 |
|  2   2   0   2   1  |           0 |
|  0   3   0   2   1  |           0 |
|  1   3   0   2   1  |           0 |
|  2   3   0   2   1  |           0 |
|  0   0   1   2   1  |           0 |
|  1   0   1   2   1  |           0 |
|  2   0   1   2   1  |           0 |
|  0   1   1   2   1  |           0 |
|  1   1   1   2   1  |           0 |
|  2   1   1   2   1  |           0 |
|  0   2   1   2   1  |           0 |
|  1   2   1   2   1  |           0 |
|  2   2   1   2   1  |           0 |
|  0   3   1   2   1  |           0 |
|  1   3   1   2   1  |           0 |
|  2   3   1   2   1  |           0 |
|  0   0   0   0   2  |           0 |
|  1   0   0   0   2  |           0 |
|  2   0   0   0   2  |           0 |
|  0   1   0   0   2  |           0 |
|  1   1   0   0   2  |           0 |
|  2   1   0   0   2  |           0 |
|  0   2   0   0   2  |           0 |
|  1   2   0   0   2  |           0 |
|  2   2   0   0   2  |           0 |
|  0   3   0   0   2  |           0 |
|  1   3   0   0   2  |           0 |
|  2   3   0   0   2  |           0 |
|  0   0   1   0   2  |           0 |
|  1   0   1   0   2  |           0 |
|  2   0   1   0   2  |           0 |
|  0   1   1   0   2  |           0 |
|  1   1   1   0   2  |           0 |
|  2   1   1   0   2  |           0 |
|  0   2   1   0   2  |           0 |
|  1   2   1   0   2  |           0 |
|  2   2   1   0   2  |           0 |
|  0   3   1   0   2  |           0 |
|  1   3   1   0   2  |           0 |
|  2   3   1   0   2  |           0 |
|  0   0   0   1   2  |           0 |
|  1   0   0   1   2  |      0.0027 |
|  2   0   0   1   2  |      0.0027 |
|  0   1   0   1   2  |           0 |
|  1   1   0   1   2  |      0.0028 |
|  2   1   0   1   2  |      0.0042 |
|  0   2   0   1   2  |           0 |
|  1   2   0   1   2  |       0.002 |
|  2   2   0   1   2  |      0.0135 |
|  0   3   0   1   2  |           0 |
|  1   3   0   1   2  |      0.0001 |
|  2   3   0   1   2  |     0.00075 |
|  0   0   1   1   2  |           0 |
|  1   0   1   1   2  |      0.0003 |
|  2   0   1   1   2  |      0.0003 |
|  0   1   1   1   2  |           0 |
|  1   1   1   1   2  |      0.0012 |
|  2   1   1   1   2  |      0.0018 |
|  0   2   1   1   2  |           0 |
|  1   2   1   1   2  |       0.002 |
|  2   2   1   1   2  |      0.0135 |
|  0   3   1   1   2  |           0 |
|  1   3   1   1   2  |      0.0004 |
|  2   3   1   1   2  |       0.003 |
|  0   0   0   2   2  |           0 |
|  1   0   0   2   2  |           0 |
|  2   0   0   2   2  |           0 |
|  0   1   0   2   2  |           0 |
|  1   1   0   2   2  |           0 |
|  2   1   0   2   2  |           0 |
|  0   2   0   2   2  |           0 |
|  1   2   0   2   2  |           0 |
|  2   2   0   2   2  |           0 |
|  0   3   0   2   2  |           0 |
|  1   3   0   2   2  |           0 |
|  2   3   0   2   2  |           0 |
|  0   0   1   2   2  |           0 |
|  1   0   1   2   2  |           0 |
|  2   0   1   2   2  |           0 |
|  0   1   1   2   2  |           0 |
|  1   1   1   2   2  |           0 |
|  2   1   1   2   2  |           0 |
|  0   2   1   2   2  |           0 |
|  1   2   1   2   2  |           0 |
|  2   2   1   2   2  |           0 |
|  0   3   1   2   2  |           0 |
|  1   3   1   2   2  |           0 |
|  2   3   1   2   2  |           0 |
-------------------------------------


Factor containing 1 variables
---------------------
| X_0 | Probability |
---------------------
|  0  |       0.042 |
|  1  |       0.115 |
|  2  |      0.0795 |
---------------------


Factor containing 5 variables
-------------------------------------
| X_0 X_1 X_2 X_3 X_4 | Probability |
-------------------------------------
|  0   0   0   0   0  |           0 |
|  1   0   0   0   0  |           0 |
|  2   0   0   0   0  |     0.00189 |
|  0   1   0   0   0  |           0 |
|  1   1   0   0   0  |           0 |
|  2   1   0   0   0  |      0.0021 |
|  0   2   0   0   0  |           0 |
|  1   2   0   0   0  |           0 |
|  2   2   0   0   0  |    0.000675 |
|  0   3   0   0   0  |           0 |
|  1   3   0   0   0  |           0 |
|  2   3   0   0   0  |           0 |
|  0   0   1   0   0  |           0 |
|  1   0   1   0   0  |           0 |
|  2   0   1   0   0  |     0.00021 |
|  0   1   1   0   0  |           0 |
|  1   1   1   0   0  |           0 |
|  2   1   1   0   0  |      0.0009 |
|  0   2   1   0   0  |           0 |
|  1   2   1   0   0  |           0 |
|  2   2   1   0   0  |    0.000675 |
|  0   3   1   0   0  |           0 |
|  1   3   1   0   0  |           0 |
|  2   3   1   0   0  |           0 |
|  0   0   0   1   0  |           0 |
|  1   0   0   1   0  |           0 |
|  2   0   0   1   0  |     0.00054 |
|  0   1   0   1   0  |           0 |
|  1   1   0   1   0  |           0 |
|  2   1   0   1   0  |     0.00084 |
|  0   2   0   1   0  |           0 |
|  1   2   0   1   0  |           0 |
|  2   2   0   1   0  |      0.0027 |
|  0   3   0   1   0  |           0 |
|  1   3   0   1   0  |           0 |
|  2   3   0   1   0  |     0.00015 |
|  0   0   1   1   0  |           0 |
|  1   0   1   1   0  |           0 |
|  2   0   1   1   0  |       6e-05 |
|  0   1   1   1   0  |           0 |
|  1   1   1   1   0  |           0 |
|  2   1   1   1   0  |     0.00036 |
|  0   2   1   1   0  |           0 |
|  1   2   1   1   0  |           0 |
|  2   2   1   1   0  |      0.0027 |
|  0   3   1   1   0  |           0 |
|  1   3   1   1   0  |           0 |
|  2   3   1   1   0  |      0.0006 |
|  0   0   0   2   0  |           0 |
|  1   0   0   2   0  |           0 |
|  2   0   0   2   0  |     0.00027 |
|  0   1   0   2   0  |           0 |
|  1   1   0   2   0  |           0 |
|  2   1   0   2   0  |     0.00126 |
|  0   2   0   2   0  |           0 |
|  1   2   0   2   0  |           0 |
|  2   2   0   2   0  |    0.003375 |
|  0   3   0   2   0  |           0 |
|  1   3   0   2   0  |           0 |
|  2   3   0   2   0  |     0.00135 |
|  0   0   1   2   0  |           0 |
|  1   0   1   2   0  |           0 |
|  2   0   1   2   0  |       3e-05 |
|  0   1   1   2   0  |           0 |
|  1   1   1   2   0  |           0 |
|  2   1   1   2   0  |     0.00054 |
|  0   2   1   2   0  |           0 |
|  1   2   1   2   0  |           0 |
|  2   2   1   2   0  |    0.003375 |
|  0   3   1   2   0  |           0 |
|  1   3   1   2   0  |           0 |
|  2   3   1   2   0  |      0.0054 |
|  0   0   0   0   1  |           0 |
|  1   0   0   0   1  |           0 |
|  2   0   0   0   1  |     0.00756 |
|  0   1   0   0   1  |           0 |
|  1   1   0   0   1  |           0 |
|  2   1   0   0   1  |      0.0084 |
|  0   2   0   0   1  |           0 |
|  1   2   0   0   1  |           0 |
|  2   2   0   0   1  |      0.0027 |
|  0   3   0   0   1  |           0 |
|  1   3   0   0   1  |           0 |
|  2   3   0   0   1  |           0 |
|  0   0   1   0   1  |           0 |
|  1   0   1   0   1  |           0 |
|  2   0   1   0   1  |     0.00084 |
|  0   1   1   0   1  |           0 |
|  1   1   1   0   1  |           0 |
|  2   1   1   0   1  |      0.0036 |
|  0   2   1   0   1  |           0 |
|  1   2   1   0   1  |           0 |
|  2   2   1   0   1  |      0.0027 |
|  0   3   1   0   1  |           0 |
|  1   3   1   0   1  |           0 |
|  2   3   1   0   1  |           0 |
|  0   0   0   1   1  |           0 |
|  1   0   0   1   1  |           0 |
|  2   0   0   1   1  |     0.00216 |
|  0   1   0   1   1  |           0 |
|  1   1   0   1   1  |           0 |
|  2   1   0   1   1  |     0.00336 |
|  0   2   0   1   1  |           0 |
|  1   2   0   1   1  |           0 |
|  2   2   0   1   1  |      0.0108 |
|  0   3   0   1   1  |           0 |
|  1   3   0   1   1  |           0 |
|  2   3   0   1   1  |      0.0006 |
|  0   0   1   1   1  |           0 |
|  1   0   1   1   1  |           0 |
|  2   0   1   1   1  |     0.00024 |
|  0   1   1   1   1  |           0 |
|  1   1   1   1   1  |           0 |
|  2   1   1   1   1  |     0.00144 |
|  0   2   1   1   1  |           0 |
|  1   2   1   1   1  |           0 |
|  2   2   1   1   1  |      0.0108 |
|  0   3   1   1   1  |           0 |
|  1   3   1   1   1  |           0 |
|  2   3   1   1   1  |      0.0024 |
|  0   0   0   2   1  |           0 |
|  1   0   0   2   1  |           0 |
|  2   0   0   2   1  |     0.00108 |
|  0   1   0   2   1  |           0 |
|  1   1   0   2   1  |           0 |
|  2   1   0   2   1  |     0.00504 |
|  0   2   0   2   1  |           0 |
|  1   2   0   2   1  |           0 |
|  2   2   0   2   1  |      0.0135 |
|  0   3   0   2   1  |           0 |
|  1   3   0   2   1  |           0 |
|  2   3   0   2   1  |      0.0054 |
|  0   0   1   2   1  |           0 |
|  1   0   1   2   1  |           0 |
|  2   0   1   2   1  |     0.00012 |
|  0   1   1   2   1  |           0 |
|  1   1   1   2   1  |           0 |
|  2   1   1   2   1  |     0.00216 |
|  0   2   1   2   1  |           0 |
|  1   2   1   2   1  |           0 |
|  2   2   1   2   1  |      0.0135 |
|  0   3   1   2   1  |           0 |
|  1   3   1   2   1  |           0 |
|  2   3   1   2   1  |      0.0216 |
|  0   0   0   0   2  |           0 |
|  1   0   0   0   2  |           0 |
|  2   0   0   0   2  |     0.00945 |
|  0   1   0   0   2  |           0 |
|  1   1   0   0   2  |           0 |
|  2   1   0   0   2  |      0.0105 |
|  0   2   0   0   2  |           0 |
|  1   2   0   0   2  |           0 |
|  2   2   0   0   2  |    0.003375 |
|  0   3   0   0   2  |           0 |
|  1   3   0   0   2  |           0 |
|  2   3   0   0   2  |           0 |
|  0   0   1   0   2  |           0 |
|  1   0   1   0   2  |           0 |
|  2   0   1   0   2  |     0.00105 |
|  0   1   1   0   2  |           0 |
|  1   1   1   0   2  |           0 |
|  2   1   1   0   2  |      0.0045 |
|  0   2   1   0   2  |           0 |
|  1   2   1   0   2  |           0 |
|  2   2   1   0   2  |    0.003375 |
|  0   3   1   0   2  |           0 |
|  1   3   1   0   2  |           0 |
|  2   3   1   0   2  |           0 |
|  0   0   0   1   2  |           0 |
|  1   0   0   1   2  |           0 |
|  2   0   0   1   2  |      0.0027 |
|  0   1   0   1   2  |           0 |
|  1   1   0   1   2  |           0 |
|  2   1   0   1   2  |      0.0042 |
|  0   2   0   1   2  |           0 |
|  1   2   0   1   2  |           0 |
|  2   2   0   1   2  |      0.0135 |
|  0   3   0   1   2  |           0 |
|  1   3   0   1   2  |           0 |
|  2   3   0   1   2  |     0.00075 |
|  0   0   1   1   2  |           0 |
|  1   0   1   1   2  |           0 |
|  2   0   1   1   2  |      0.0003 |
|  0   1   1   1   2  |           0 |
|  1   1   1   1   2  |           0 |
|  2   1   1   1   2  |      0.0018 |
|  0   2   1   1   2  |           0 |
|  1   2   1   1   2  |           0 |
|  2   2   1   1   2  |      0.0135 |
|  0   3   1   1   2  |           0 |
|  1   3   1   1   2  |           0 |
|  2   3   1   1   2  |       0.003 |
|  0   0   0   2   2  |           0 |
|  1   0   0   2   2  |           0 |
|  2   0   0   2   2  |     0.00135 |
|  0   1   0   2   2  |           0 |
|  1   1   0   2   2  |           0 |
|  2   1   0   2   2  |      0.0063 |
|  0   2   0   2   2  |           0 |
|  1   2   0   2   2  |           0 |
|  2   2   0   2   2  |    0.016875 |
|  0   3   0   2   2  |           0 |
|  1   3   0   2   2  |           0 |
|  2   3   0   2   2  |     0.00675 |
|  0   0   1   2   2  |           0 |
|  1   0   1   2   2  |           0 |
|  2   0   1   2   2  |     0.00015 |
|  0   1   1   2   2  |           0 |
|  1   1   1   2   2  |           0 |
|  2   1   1   2   2  |      0.0027 |
|  0   2   1   2   2  |           0 |
|  1   2   1   2   2  |           0 |
|  2   2   1   2   2  |    0.016875 |
|  0   3   1   2   2  |           0 |
|  1   3   1   2   2  |           0 |
|  2   3   1   2   2  |       0.027 |
-------------------------------------


Factor containing 1 variables
---------------------
| X_4 | Probability |
---------------------
|  0  |        0.03 |
|  1  |        0.12 |
|  2  |        0.15 |
---------------------


compute_marginals_naive: PASSED
